"","ID","noEvents","CP","INTEREST_RATE","CAT","AMOUNT","CARD_TYPE","DELIVERY_SCORE","TXN","TIMES_USED"
"1",1,4,NA,40,49,1300,"DIGITAL",NA,434.1120658,1
"2",2,1,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,1,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,8,11560,32,39,10000,"PLASTIC",3,5426.211783,4
"5",5,4,53100,46,48,15900,"PLASTIC",0,NA,NA
"6",7,3,NA,NA,NA,NA,NA,NA,NA,NA
"7",8,4,11560,40,42,3300,"PLASTIC",2,NA,NA
"8",10,1,NA,NA,NA,NA,NA,NA,NA,NA
"9",11,9,64000,32,32,49800,"PLASTIC",0,6251.99146986,5
"10",12,1,NA,NA,NA,NA,NA,NA,NA,NA
"11",14,4,11560,31,46,2700,"PLASTIC",4,NA,NA
"12",15,3,NA,NA,NA,NA,NA,NA,NA,NA
"13",16,4,11560,38,44,10700,"PLASTIC",2,NA,NA
"14",17,6,44620,48,48,6600,"PLASTIC",3,152.03989809,2
"15",18,5,53100,36,48,16300,"PLASTIC",2,1131.122678,1
"16",19,4,11560,38,35,21200,"PLASTIC",0,NA,NA
"17",20,6,44100,32,48,56200,"PLASTIC",2,280.19475986,2
"18",22,3,NA,NA,NA,NA,NA,NA,NA,NA
"19",23,3,NA,NA,NA,NA,NA,NA,NA,NA
"20",24,3,NA,NA,NA,NA,NA,NA,NA,NA
"21",26,4,44100,36,47,14900,"PLASTIC",3,NA,NA
"22",27,3,NA,NA,NA,NA,NA,NA,NA,NA
"23",28,6,11560,46,37,14900,"PLASTIC",4,396.3319336,2
"24",29,4,11560,42,42,51600,"PLASTIC",2,NA,NA
"25",30,1,NA,NA,NA,NA,NA,NA,NA,NA
"26",31,6,64000,35,37,39700,"PLASTIC",1,270.57147642,2
"27",33,5,53100,35,43,36000,"PLASTIC",3,189.502785,1
"28",35,8,NA,39,43,2000,"DIGITAL",NA,1839.17856371,5
"29",37,4,NA,45,35,3200,"DIGITAL",NA,1529.738176,1
"30",38,1,NA,NA,NA,NA,NA,NA,NA,NA
"31",41,3,NA,NA,NA,NA,NA,NA,NA,NA
"32",43,1,NA,NA,NA,NA,NA,NA,NA,NA
"33",44,3,NA,49,35,13200,"DIGITAL",NA,NA,NA
"34",45,4,53100,35,45,13000,"PLASTIC",2,NA,NA
"35",46,1,NA,NA,NA,NA,NA,NA,NA,NA
"36",47,5,44100,46,41,15100,"PLASTIC",3,51.24002299,1
"37",49,5,53100,46,44,7900,"PLASTIC",2,594.7261333,1
"38",51,9,11560,40,39,5100,"PLASTIC",1,1516.44563323,5
"39",52,3,NA,NA,NA,NA,NA,NA,NA,NA
"40",53,7,11560,33,34,17200,"PLASTIC",3,1606.44221097,3
"41",54,3,NA,NA,NA,NA,NA,NA,NA,NA
"42",56,1,NA,NA,NA,NA,NA,NA,NA,NA
"43",57,1,NA,NA,NA,NA,NA,NA,NA,NA
"44",58,7,NA,30,32,17100,"DIGITAL",NA,559.2806209,4
"45",59,7,64000,49,40,4800,"PLASTIC",1,2215.3001955,3
"46",60,6,44620,31,36,13100,"PLASTIC",2,8123.5405512,2
"47",62,7,NA,43,34,8200,"DIGITAL",NA,1417.64271006,4
"48",64,7,44620,33,39,15300,"PLASTIC",2,39934.7026494,3
"49",65,5,NA,36,43,5200,"DIGITAL",NA,815.71925467,2
"50",66,3,NA,NA,NA,NA,NA,NA,NA,NA
"51",68,3,NA,NA,NA,NA,NA,NA,NA,NA
"52",69,7,44100,30,31,14800,"PLASTIC",4,919.8294516,3
"53",70,3,NA,NA,NA,NA,NA,NA,NA,NA
"54",71,1,NA,NA,NA,NA,NA,NA,NA,NA
"55",72,5,53100,32,32,300,"PLASTIC",0,3358.294171,1
"56",75,3,NA,37,42,0,"DIGITAL",NA,NA,NA
"57",76,4,NA,47,42,39200,"DIGITAL",NA,56.20647139,1
"58",77,7,NA,45,32,2900,"DIGITAL",NA,10094.71872928,4
"59",78,1,NA,NA,NA,NA,NA,NA,NA,NA
"60",79,8,53100,38,35,78900,"PLASTIC",1,4211.425420613,4
"61",80,3,NA,NA,NA,NA,NA,NA,NA,NA
"62",81,1,NA,NA,NA,NA,NA,NA,NA,NA
"63",83,1,NA,NA,NA,NA,NA,NA,NA,NA
"64",85,3,NA,NA,NA,NA,NA,NA,NA,NA
"65",86,3,NA,NA,NA,NA,NA,NA,NA,NA
"66",88,5,53100,38,43,18200,"PLASTIC",3,507.3562627,1
"67",89,9,44100,36,39,4300,"PLASTIC",3,3372.49394132,5
"68",92,4,11560,43,37,1700,"PLASTIC",1,NA,NA
"69",94,8,NA,42,34,200,"DIGITAL",NA,6372.60154033,5
